R1,R2,CTest1,CTest2,VJump1,VJump2,30m,PH1,PH2,PH3,PH4,PH5,PHA,PHB,PHV,PHF,Reac1,Reac2,Reac3,Reac4,RA,RB,RV,RF,S1,S2,S3,S4,SA,SB,SV,SF,PS1,PS2,PS3,PS4,PSA,PSB,PSV,PSF,Branch
8.0,7.0,25.567,25.955,49.906105,57.040432,3.787,5.0,5.0,5.0,3.0,4.0,36.08,35.2,33.44,30.8,4.0,3.0,1.0,4.0,18.0,16.8,19.2,18.0,2.0,3.0,3.0,2.0,5.5,10.5,7.0,10.5,2.0,2.0,3.0,2.0,8.1,4.95,7.2,6.3,2
7.5,7.0,63.754,-1.0,39.880657,35.259834,5.049,5.0,2.0,2.0,2.0,3.0,22.96,22.4,21.28,19.6,5.0,4.0,4.0,3.0,24.0,22.4,25.6,24.0,3.0,2.0,4.0,5.0,7.7,14.7,9.8,14.7,2.0,5.0,2.0,4.0,11.7,7.15,10.4,9.1,0
7.0,6.0,27.952,27.713,38.44207,46.5149,3.93,4.0,3.0,5.0,5.0,3.0,32.8,32.0,30.4,28.0,1.0,2.0,5.0,2.0,15.0,14.0,16.0,15.0,2.0,1.0,4.0,3.0,5.5,10.5,7.0,10.5,2.0,1.0,3.0,4.0,9.0,5.5,8.0,7.0,3
4.0,7.0,29.79,28.59,45.49,45.348,4.01,3.0,1.0,4.0,1.0,3.0,19.68,19.2,18.24,16.8,1.0,2.0,2.0,4.0,13.5,12.6,14.4,13.5,2.0,2.0,4.0,3.0,6.05,11.55,7.7,11.55,1.0,3.0,2.0,3.0,8.1,4.95,7.2,6.3,3
5.5,6.0,69.829,-1.0,40.373287,44.417534,4.569,1.0,1.0,5.0,5.0,5.0,27.88,27.2,25.84,23.8,5.0,2.0,2.0,1.0,15.0,14.0,16.0,15.0,1.0,4.0,2.0,5.0,6.6,12.6,8.4,12.6,1.0,1.0,4.0,1.0,6.3,3.85,5.6,4.9,3
7.0,6.5,70.795,-1.0,46.172115,45.421513,4.363,5.0,5.0,5.0,1.0,4.0,32.8,32.0,30.4,28.0,5.0,4.0,3.0,3.0,22.5,21.0,24.0,22.5,2.0,4.0,2.0,4.0,6.6,12.6,8.4,12.6,5.0,5.0,3.0,3.0,14.4,8.8,12.8,11.2,0
8.0,7.0,73.09,-1.0,33.786972,36.54399,5.208,1.0,5.0,4.0,2.0,3.0,24.6,24.0,22.8,21.0,2.0,2.0,2.0,4.0,15.0,14.0,16.0,15.0,4.0,2.0,5.0,4.0,8.25,15.75,10.5,15.75,4.0,4.0,5.0,3.0,14.4,8.8,12.8,11.2,3
7.0,7.0,56.73,-1.0,31.198896,31.919764,5.561,3.0,1.0,3.0,3.0,4.0,22.96,22.4,21.28,19.6,4.0,4.0,4.0,3.0,22.5,21.0,24.0,22.5,2.0,4.0,1.0,1.0,4.4,8.4,5.6,8.4,4.0,1.0,5.0,1.0,9.9,6.05,8.8,7.7,2
7.0,7.0,29.558,29.861,33.786972,32.009026,4.382,4.0,4.0,1.0,3.0,2.0,22.96,22.4,21.28,19.6,1.0,1.0,3.0,5.0,15.0,14.0,16.0,15.0,5.0,4.0,3.0,1.0,7.15,13.65,9.1,13.65,2.0,1.0,3.0,1.0,6.3,3.85,5.6,4.9,3
7.5,7.0,60.241,-1.0,38.603973,39.458355,5.008,2.0,2.0,5.0,5.0,1.0,24.6,24.0,22.8,21.0,5.0,2.0,4.0,2.0,19.5,18.2,20.8,19.5,5.0,1.0,5.0,1.0,6.6,12.6,8.4,12.6,1.0,3.0,3.0,5.0,10.8,6.6,9.6,8.4,1
2.5,4.0,63.285,-1.0,39.409122,45.463757,4.28,3.0,5.0,4.0,2.0,1.0,24.6,24.0,22.8,21.0,3.0,4.0,2.0,5.0,21.0,19.6,22.4,21.0,4.0,3.0,3.0,3.0,7.15,13.65,9.1,13.65,1.0,2.0,1.0,1.0,4.5,2.75,4.0,3.5,1
