R1,R2,CTest1,CTest2,VJump1,VJump2,30m,PH1,PH2,PH3,PH4,PH5,PHA,PHB,PHV,PHF,Reac1,Reac2,Reac3,Reac4,RA,RB,RV,RF,S1,S2,S3,S4,SA,SB,SV,SF,PS1,PS2,PS3,PS4,PSA,PSB,PSV,PSF,Branch
9.0,4.5,62.737,-1.0,42.476425,44.969997,5.633,1,2,4,2,1,16.4,16.0,15.2,14.0,4,2,3,2,16.5,15.4,17.6,16.5,1,1,2,2,3.3,6.3,4.2,6.3,5,4,4,2,13.5,8.25,12.0,10.5,4
5.0,5.0,31.823,31.342,23.84009,21.623661,5.118,3,3,2,1,1,16.4,16.0,15.2,14.0,4,3,5,1,19.5,18.2,20.8,19.5,1,3,3,5,6.6,12.6,8.4,12.6,3,5,4,1,11.7,7.15,10.4,9.1,1
3.5,2.5,46.699,-1.0,45.692776,48.347744,4.247,1,3,1,5,1,18.04,17.6,16.72,15.4,1,1,5,1,12.0,11.2,12.8,12.0,5,3,5,3,8.8,16.8,11.2,16.8,4,5,5,2,14.4,8.8,12.8,11.2,4
8.0,7.0,54.535,-1.0,31.021046,29.721832,4.788,3,2,3,1,2,18.04,17.6,16.72,15.4,5,3,4,2,21.0,19.6,22.4,21.0,4,1,3,4,6.6,12.6,8.4,12.6,3,5,3,5,14.4,8.8,12.8,11.2,1
6.0,5.5,44.666,-1.0,41.302826,39.49884,4.519,5,2,1,2,1,18.04,17.6,16.72,15.4,4,2,4,5,22.5,21.0,24.0,22.5,1,4,5,1,6.05,11.55,7.7,11.55,4,1,5,1,9.9,6.05,8.8,7.7,3
8.0,7.0,42.968,-1.0,36.54399,37.48702,4.456,1,2,4,2,2,18.04,17.6,16.72,15.4,5,3,3,5,24.0,22.4,25.6,24.0,3,1,4,5,7.15,13.65,9.1,13.65,4,2,1,4,9.9,6.05,8.8,7.7,2
8.0,6.0,26.764,23.691,47.578068,43.397495,3.995,3,3,3,2,1,19.68,19.2,18.24,16.8,1,5,1,2,13.5,12.6,14.4,13.5,4,4,5,1,7.7,14.7,9.8,14.7,5,2,3,2,10.8,6.6,9.6,8.4,4
5.0,3.0,26.341,25.276,46.5149,50.839634,4.011,4,1,1,5,1,19.68,19.2,18.24,16.8,1,2,5,1,13.5,12.6,14.4,13.5,3,5,2,1,6.05,11.55,7.7,11.55,5,4,2,4,13.5,8.25,12.0,10.5,4
8.0,7.0,26.677,28.937,45.29892,44.690823,3.98,1,4,2,4,2,21.32,20.8,19.76,18.2,3,4,1,2,15.0,14.0,16.0,15.0,2,5,1,4,6.6,12.6,8.4,12.6,1,3,1,4,8.1,4.95,7.2,6.3,4
7.0,2.0,25.068,24.089,47.379257,47.05273,3.934,5,2,1,3,2,21.32,20.8,19.76,18.2,4,4,4,4,24.0,22.4,25.6,24.0,3,3,3,4,7.15,13.65,9.1,13.65,1,2,2,3,7.2,4.4,6.4,5.6,2
4.0,3.5,52.961,-1.0,55.019188,50.18275,5.402,1,5,5,1,2,22.96,22.4,21.28,19.6,1,3,4,1,13.5,12.6,14.4,13.5,2,1,3,4,5.5,10.5,7.0,10.5,5,4,2,5,14.4,8.8,12.8,11.2,4
8.0,7.0,46.717,-1.0,35.935867,33.609074,5.049,1,3,3,3,4,22.96,22.4,21.28,19.6,3,1,3,4,16.5,15.4,17.6,16.5,1,3,3,2,4.95,9.45,6.3,9.45,5,3,4,4,14.4,8.8,12.8,11.2,5
8.0,7.0,55.012,-1.0,40.210796,36.11383,5.225,2,1,1,5,5,22.96,22.4,21.28,19.6,3,4,3,2,18.0,16.8,19.2,18.0,1,4,5,4,7.7,14.7,9.8,14.7,1,4,3,1,8.1,4.95,7.2,6.3,2
6.0,6.0,26.887,25.404,39.51,44.77,4.07,1,2,3,5,4,24.6,24.0,22.8,21.0,1,2,3,3,13.5,12.6,14.4,13.5,4,1,5,1,6.05,11.55,7.7,11.55,4,1,4,4,11.7,7.15,10.4,9.1,4
7.0,6.5,54.793,-1.0,28.639585,18.621952,5.276,4,1,5,1,4,24.6,24.0,22.8,21.0,1,5,3,4,19.5,18.2,20.8,19.5,1,4,5,4,7.7,14.7,9.8,14.7,1,2,4,5,10.8,6.6,9.6,8.4,2
7.0,7.0,27.01,26.704,37.48702,37.48702,4.139,4,3,3,3,2,24.6,24.0,22.8,21.0,4,5,3,2,21.0,19.6,22.4,21.0,5,1,5,2,7.15,13.65,9.1,13.65,1,5,1,2,8.1,4.95,7.2,6.3,2
1.0,1.0,55.153,-1.0,37.572346,33.356144,5.205,4,3,3,2,3,24.6,24.0,22.8,21.0,5,1,5,3,21.0,19.6,22.4,21.0,1,3,3,1,4.4,8.4,5.6,8.4,1,3,3,4,9.9,6.05,8.8,7.7,3
8.0,7.0,26.816,26.561,45.57266,42.12631,4.124,4,1,5,2,3,24.6,24.0,22.8,21.0,4,2,5,4,22.5,21.0,24.0,22.5,3,5,3,2,7.15,13.65,9.1,13.65,2,1,1,5,8.1,4.95,7.2,6.3,2
7.0,7.0,29.959,31.411,40.87,24.93,4.93,2,3,5,3,2,24.6,24.0,22.8,21.0,5,1,4,5,22.5,21.0,24.0,22.5,3,1,4,1,4.95,9.45,6.3,9.45,5,1,3,1,9.0,5.5,8.0,7.0,3
