R1,R2,Rhythm,CTest1,CTest2,CScore,VJump1,VJump2,VJumpScore,30m,30mScore,PH1,PH2,PH3,PH4,PH5,PHTotal,PHA,PHB,PHV,PHF,Reac1,Reac2,Reac3,Reac4,RTotal,RA,RB,RV,RF,S1,S2,S3,S4,STotal,SA,SB,SV,SF,PS1,PS2,PS3,PS4,PSTotal,PSA,PSB,PSV,PSF,Branch
9,4.5,13.5,62.737,-1,45,42.476425,44.969997,10,5.633,14,1,2,4,2,1,40,16.4,16,15.2,14,4,2,3,2,55,16.5,15.4,17.6,16.5,1,1,2,2,30,3.3,6.3,4.2,6.3,5,4,4,2,75,13.5,8.25,12,10.5,C4
5,5,10,31.823,31.342,45,23.84009,21.623661,10,5.118,15,3,3,2,1,1,40,16.4,16,15.2,14,4,3,5,1,65,19.5,18.2,20.8,19.5,1,3,3,5,60,6.6,12.6,8.4,12.6,3,5,4,1,65,11.7,7.15,10.4,9.1,C1
3.5,2.5,6,46.699,-1,45,45.692776,48.347744,8,4.247,13.5,1,3,1,5,1,44,18.04,17.6,16.72,15.4,1,1,5,1,40,12,11.2,12.8,12,5,3,5,3,80,8.8,16.8,11.2,16.8,4,5,5,2,80,14.4,8.8,12.8,11.2,C4
8,7,15,54.535,-1,45,31.021046,29.721832,6.5,4.788,12.5,3,2,3,1,2,44,18.04,17.6,16.72,15.4,5,3,4,2,70,21,19.6,22.4,21,4,1,3,4,60,6.6,12.6,8.4,12.6,3,5,3,5,80,14.4,8.8,12.8,11.2,C1
6,5.5,11.5,44.666,-1,45,41.302826,39.49884,6,4.519,10,5,2,1,2,1,44,18.04,17.6,16.72,15.4,4,2,4,5,75,22.5,21,24,22.5,1,4,5,1,55,6.05,11.55,7.7,11.55,4,1,5,1,55,9.9,6.05,8.8,7.7,C3
8,7,15,42.968,-1,45,36.54399,37.48702,4.031941891,4.456,11.6255638,1,2,4,2,2,44,18.04,17.6,16.72,15.4,5,3,3,5,80,24,22.4,25.6,24,3,1,4,5,65,7.15,13.65,9.1,13.65,4,2,1,4,55,9.9,6.05,8.8,7.7,C2
8,6,14,26.764,23.691,45,47.578068,43.397495,6.368553042,3.995,11.71131045,3,3,3,2,1,48,19.68,19.2,18.24,16.8,1,5,1,2,45,13.5,12.6,14.4,13.5,4,4,5,1,70,7.7,14.7,9.8,14.7,5,2,3,2,60,10.8,6.6,9.6,8.4,C4
5,3,8,26.341,25.276,45,46.5149,50.839634,10,4.011,12.9574424,4,1,1,5,1,48,19.68,19.2,18.24,16.8,1,2,5,1,45,13.5,12.6,14.4,13.5,3,5,2,1,55,6.05,11.55,7.7,11.55,5,4,2,4,75,13.5,8.25,12,10.5,C4
8,7,15,26.677,28.937,45,45.29892,44.690823,10,3.98,15,1,4,2,4,2,52,21.32,20.8,19.76,18.2,3,4,1,2,50,15,14,16,15,2,5,1,4,60,6.6,12.6,8.4,12.6,1,3,1,4,45,8.1,4.95,7.2,6.3,C4
7,2,9,25.068,24.089,45,47.379257,47.05273,8.216616511,3.934,15,5,2,1,3,2,52,21.32,20.8,19.76,18.2,4,4,4,4,80,24,22.4,25.6,24,3,3,3,4,65,7.15,13.65,9.1,13.65,1,2,2,3,40,7.2,4.4,6.4,5.6,C2
